175,672,674.56,0,2.56,176
176,672,674.56,42,44.56,177
177,672,674.56,84,86.56,178
178,672,674.56,126,128.56,179
179,672,674.56,168,170.56,180
180,672,674.56,210,212.56,181
181,672,674.56,252,254.56,182
182,672,674.56,294,296.56,183
183,672,674.56,336,338.56,184
184,672,674.56,378,380.56,185
185,672,674.56,420,422.56,186
186,714,716.56,0,2.56,187
187,714,716.56,42,44.56,188
188,714,716.56,84,86.56,189
189,714,716.56,126,128.56,190
190,714,716.56,168,170.56,191
191,714,716.56,210,212.56,192
192,714,716.56,252,254.56,193
193,714,716.56,294,296.56,194
194,714,716.56,336,338.56,195
195,714,716.56,378,380.56,196
196,714,716.56,420,422.56,197
197,756,758.56,0,2.56,198
198,756,758.56,42,44.56,199
199,756,758.56,84,86.56,200
200,756,758.56,126,128.56,201
201,756,758.56,168,170.56,202
202,756,758.56,210,212.56,203
203,756,758.56,252,254.56,204
204,756,758.56,294,296.56,205
205,756,758.56,336,338.56,206
206,756,758.56,378,380.56,207
207,756,758.56,420,422.56,208
208,798,800.56,0,2.56,209
209,798,800.56,42,44.56,210
210,798,800.56,84,86.56,211
211,798,800.56,126,128.56,212
212,798,800.56,168,170.56,213
213,798,800.56,210,212.56,214
214,798,800.56,252,254.56,215
215,798,800.56,294,296.56,216
216,798,800.56,336,338.56,217
217,798,800.56,378,380.56,218
218,798,800.56,420,422.56,219
219,840,842.56,0,2.56,220
220,840,842.56,42,44.56,221
221,840,842.56,84,86.56,222
222,840,842.56,126,128.56,223
223,840,842.56,168,170.56,224
224,840,842.56,210,212.56,225
225,840,842.56,252,254.56,226
226,840,842.56,294,296.56,227
227,840,842.56,336,338.56,228
228,840,842.56,378,380.56,229
229,840,842.56,420,422.56,230
230,882,884.56,0,2.56,231
231,882,884.56,42,44.56,232
232,882,884.56,84,86.56,233
233,882,884.56,126,128.56,234
234,882,884.56,168,170.56,235
235,882,884.56,210,212.56,236
236,882,884.56,252,254.56,237
237,882,884.56,294,296.56,238
238,882,884.56,336,338.56,239
239,882,884.56,378,380.56,240
240,882,884.56,420,422.56,241
